id;color;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1011;white;6.4;0.21;0.28;5.9;0.047;29;101;0.99278;3.15;0.4;11;6
1012;white;6;0.34;0.66;15.9;0.046;26;164;0.9979;3.14;0.5;8.8;6
1013;red;7.1;0.43;0.17;1.8;0.082;27;51;0.99634;3.49;0.64;10.4;5
1014;white;7.2;0.24;0.3;1.6;0.048;27;131;0.9933;3.25;0.45;10.5;5
1015;white;6.3;0.25;0.53;1.8;0.021;41;101;0.989315;3.19;0.31;13;6
1016;white;6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6
1017;red;7;0.685;0;1.9;0.067;40;63;0.9979;3.6;0.81;9.9;5
1018;white;7.1;0.28;0.31;1.5;0.053;20;98;0.99069;3.15;0.5;11.4;5
1019;white;4.8;0.13;0.32;1.2;0.042;40;98;0.9898;3.42;0.64;11.8;7
1020;white;6.7;0.33;0.36;6.6;0.042;34;116;0.99123;2.97;0.31;12.2;8
1021;white;5.1;0.35;0.26;6.8;0.034;36;120;0.99188;3.38;0.4;11.5;6
1022;white;7;0.33;0.28;5.7;0.033;39;204;0.99176;3.17;0.64;12.5;6
1023;white;6.8;0.43;0.26;5.2;0.043;40;176;0.99116;3.17;0.41;12.3;6
1024;red;6.2;0.58;0;1.6;0.065;8;18;0.9966;3.56;0.84;9.4;5
1025;red;7.2;0.62;0.06;2.7;0.077;15;85;0.99746;3.51;0.54;9.5;5
1026;red;9;0.785;0.24;1.7;0.078;10;21;0.99692;3.29;0.67;10;5
1027;white;5;0.33;0.16;1.5;0.049;10;97;0.9917;3.48;0.44;10.7;6
1028;white;6.5;0.32;0.45;7.7;0.022;31;97;0.99134;3.2;0.7;12.7;7
1029;white;6.4;0.32;0.26;7.9;0.05;53;180;0.99514;3.14;0.5;9.6;5
1030;white;7.7;0.46;0.18;3.3;0.054;18;143;0.99392;3.12;0.51;10.8;6
1031;white;6.5;0.33;0.72;1.1;0.061;7;151;0.993;3.09;0.57;9.5;4
1032;white;6.2;0.24;0.27;16.8;0.04;48;129;0.99691;3.23;0.38;10.5;6
1033;red;7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6
1034;white;5.8;0.28;0.35;2.3;0.053;36;114;0.9924;3.28;0.5;10.2;4
1035;white;7;0.12;0.29;10.3;0.039;41;98;0.99564;3.19;0.38;9.8;8
1036;white;5.9;0.29;0.16;7.9;0.044;48;197;0.99512;3.21;0.36;9.4;5
1037;white;6.1;0.28;0.16;1.3;0.06;36;126;0.99353;3.13;0.46;8.7;6
1038;red;6.7;0.7;0.08;3.75;0.067;8;16;0.99334;3.43;0.52;12.6;5
1039;white;7.4;0.16;0.3;13.7;0.056;33;168;0.99825;2.9;0.44;8.7;7
1040;white;6;0.16;0.3;6.7;0.043;43;153;0.9951;3.63;0.46;10.6;5
1041;white;6.9;0.4;0.42;6.2;0.066;41;176;0.99552;3.12;0.54;9.4;5
1042;red;7.5;0.38;0.57;2.3;0.106;5;12;0.99605;3.36;0.55;11.4;6
1043;red;7.5;0.57;0.08;2.6;0.089;14;27;0.99592;3.3;0.59;10.4;6
1044;white;7.9;0.16;0.3;7.4;0.05;58;152;0.99612;3.12;0.37;9.5;6
1045;white;6.5;0.33;0.3;3.8;0.036;34;88;0.99028;3.25;0.63;12.5;7
1046;white;5.9;0.35;0.47;2.2;0.11;14;138;0.9932;3.09;0.5;9.1;5
1047;white;7.7;0.43;0.28;4.5;0.046;33;102;0.9918;3.16;0.56;12.2;7
1048;red;7.8;0.64;0;1.9;0.072;27;55;0.9962;3.31;0.63;11;5
1049;white;7.2;0.23;0.38;14.3;0.058;55;194;0.9979;3.09;0.44;9;6
1050;white;7.8;0.42;0.23;8.8;0.054;42;215;0.9971;3.02;0.58;9.2;6
1051;white;7;0.18;0.26;1.4;0.044;46;89;0.99256;3.39;0.48;10.7;7
1052;white;6.8;0.16;0.36;1.3;0.034;32;98;0.99058;3.02;0.58;11.3;6
1053;white;7.3;0.34;0.3;1.3;0.057;25;173;0.9948;3.26;0.51;9.1;6
1054;white;6.1;0.24;0.3;1.5;0.045;22;61;0.992;3.31;0.54;10.4;5
1055;white;8.9;0.3;0.35;4.6;0.032;32;148;0.99458;3.15;0.45;11.5;7
1056;white;6;0.27;0.27;1.6;0.046;32;113;0.9924;3.41;0.51;10.5;7
1057;red;9.9;0.57;0.25;2;0.104;12;89;0.9963;3.04;0.9;10.1;5
1058;red;9.1;0.47;0.49;2.6;0.094;38;106;0.9982;3.08;0.59;9.1;5
1059;white;6.3;0.2;0.3;5.9;0.034;35;152;0.99642;3.47;0.4;8.5;6
1060;red;10.2;0.645;0.36;1.8;0.053;5;14;0.9982;3.17;0.42;10;6
1061;white;7.4;0.25;0.28;7.25;0.028;14;78;0.99238;2.94;0.37;11.5;7
1062;white;7.3;0.2;0.39;2.3;0.048;24;87;0.99044;2.94;0.35;12;6
1063;red;8;0.6;0.22;2.1;0.08;25;105;0.99613;3.3;0.49;9.9;5
1064;white;7.7;0.42;0.38;8.1;0.061;49;144;0.9966;3.4;0.58;11;6
1065;white;6.6;0.16;0.32;1.4;0.035;49;186;0.9906;3.35;0.64;12.4;8
1066;white;5.8;0.2;0.24;1.4;0.033;65;169;0.99043;3.59;0.56;12.3;7
1067;white;6.5;0.21;0.35;5.7;0.043;47;197;0.99392;3.24;0.5;10.1;6
1068;white;5.3;0.275;0.24;7.4;0.038;28;114;0.99313;3.38;0.51;11;6
1069;red;10.1;0.935;0.22;3.4;0.105;11;86;1.001;3.43;0.64;11.3;4
1070;white;6.1;0.27;0.31;1.5;0.035;17;83;0.99076;3.32;0.44;11.1;7
1071;red;15.9;0.36;0.65;7.5;0.096;22;71;0.9976;2.98;0.84;14.9;5
1072;red;12.3;0.39;0.63;2.3;0.091;6;18;1.0004;3.16;0.49;9.5;5
1073;white;6.9;0.14;0.38;1;0.041;22;81;0.99043;3.03;0.54;11.4;6
1074;red;15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
1075;red;9;0.44;0.49;2.4;0.078;26;121;0.9978;3.23;0.58;9.2;5
1076;white;6.9;0.32;0.13;7.8;0.042;11;117;0.996;3.23;0.37;9.2;5
1077;white;7.2;0.29;0.4;7.6;0.024;56;177;0.9928;3.04;0.32;11.5;6
1078;white;6.6;0.27;0.41;1.3;0.052;16;142;0.9951;3.42;0.47;10;6
1079;white;6.8;0.32;0.18;7.5;0.041;71;223;0.9959;3.14;0.41;8.9;5
1080;white;7;0.23;0.28;2.7;0.053;16;92;0.99372;3.18;0.56;9.3;5
1081;red;7.8;0.63;0.48;1.7;0.1;14;96;0.9961;3.19;0.62;9.5;5
1082;red;6.7;0.64;0.23;2.1;0.08;11;119;0.99538;3.36;0.7;10.9;5
1083;white;6.4;0.34;0.23;6.3;0.039;37;143;0.9944;3.19;0.65;10;6
1084;white;6.9;0.24;0.33;4.8;0.04;16;131;0.9936;3.26;0.64;10.7;6
1085;white;7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
1086;white;5.8;0.26;0.3;2.6;0.034;75;129;0.9902;3.2;0.38;11.5;4
1087;white;6.8;0.24;0.35;6.4;0.048;44;172;0.9944;3.29;0.55;10.5;7
1088;red;8.9;0.43;0.45;1.9;0.052;6;16;0.9948;3.35;0.7;12.5;6
1089;white;6.9;0.18;0.38;8.1;0.049;44;176;0.9958;3.3;0.54;9.8;6
1090;white;6.2;0.355;0.35;2;0.046;31;95;0.98822;3.06;0.46;13.6;6
1091;red;6.9;0.49;0.19;1.7;0.079;13;26;0.99547;3.38;0.64;9.8;6
1092;white;7.5;0.3;0.71;1.3;0.16;44;149;0.9948;3.08;0.42;8.9;5
1093;white;6.5;0.18;0.34;1.6;0.04;43;148;0.9912;3.32;0.59;11.5;8
1094;white;7.4;0.105;0.34;12.2;0.05;57;146;0.9973;3.16;0.37;9;6
1095;white;6.8;0.15;0.41;12.9;0.044;79.5;183;0.99742;3.24;0.78;10.2;6
1096;red;7.5;0.6;0.03;1.8;0.095;25;99;0.995;3.35;0.54;10.1;5
1097;red;7;0.69;0;1.9;0.114;3;10;0.99636;3.35;0.6;9.7;6
1098;red;7.1;0.36;0.3;1.6;0.08;35;70;0.99693;3.44;0.5;9.4;5
1099;white;5.9;0.5;0.05;2.6;0.054;36;146;0.9948;3.43;0.5;9.2;6
1100;white;5.8;0.21;0.32;1.6;0.045;38;95;0.98946;3.23;0.94;12.4;8
1101;white;6.4;0.26;0.35;7.7;0.056;45;191;0.99527;3.16;0.5;9.5;5
1102;red;7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5;5
1103;white;7.5;0.2;0.49;1.3;0.031;8;97;0.9918;3.06;0.62;11.1;5
1104;white;8.3;0.42;0.62;19.25;0.04;41;172;1.0002;2.98;0.67;9.7;5
1105;white;6.6;0.25;0.29;1.1;0.068;39;124;0.9914;3.34;0.58;11;7
1106;white;7.2;0.46;0.65;10.4;0.05;76;192;0.9976;3.16;0.42;8.7;5
1107;white;5.8;0.275;0.3;5.4;0.043;41;149;0.9926;3.33;0.42;10.8;7
1108;white;7.1;0.13;0.4;1.2;0.047;54;134;0.9932;3.3;0.97;9.8;7
1109;white;7.4;0.25;0.49;1.1;0.042;35;156;0.9917;3.13;0.55;11.3;5
1110;white;6.4;0.28;0.44;7.1;0.048;49;179;0.99528;3.15;0.48;9.2;5
1111;red;8.1;0.575;0.22;2.1;0.077;12;65;0.9967;3.29;0.51;9.2;5
1112;white;8.1;0.19;0.58;16.65;0.049;48;181;1.0006;3.2;0.62;9.1;6
1113;white;6.9;0.2;0.28;1.2;0.048;36;159;0.9936;3.19;0.43;9.1;6
1114;white;6.4;0.38;0.26;8.2;0.043;28;98;0.99234;2.99;0.31;11.4;6
1115;white;7.5;0.42;0.45;9.1;0.029;20;125;0.996;3.12;0.36;10.1;6
1116;white;6.8;0.25;0.24;4.55;0.053;41;211;0.9955;3.37;0.67;9.5;6
1117;white;7;0.27;0.74;1.3;0.173;34;121;0.99334;3.04;0.46;9.2;6
1118;red;8.8;0.4;0.4;2.2;0.079;19;52;0.998;3.44;0.64;9.2;5
1119;red;7.7;0.53;0.06;1.7;0.074;9;39;0.99615;3.35;0.48;9.8;6
1120;white;6.8;0.23;0.31;2.8;0.047;40;122;0.99126;3.06;0.64;10.9;7
1121;white;5.2;0.24;0.15;7.1;0.043;32;134;0.99378;3.24;0.48;9.9;6
1122;red;6.8;0.51;0.01;2.1;0.074;9;25;0.9958;3.33;0.56;9.5;6
1123;red;6.8;0.48;0.08;1.8;0.074;40;64;0.99529;3.12;0.49;9.6;5
1124;red;12.8;0.615;0.66;5.8;0.083;7;42;1.0022;3.07;0.73;10;7
1125;white;6.8;0.34;0.1;1.4;0.049;29;118;0.9936;3.21;0.41;9.5;5
1126;white;6.4;0.17;0.27;6.7;0.036;88;223;0.9948;3.28;0.35;10.2;6
1127;white;7.7;0.24;0.3;1.4;0.041;15;102;0.9929;3.26;0.53;10.4;6
1128;white;7.4;0.32;0.27;12.9;0.04;60;221;0.99831;3.05;0.66;9.4;5
1129;white;7.1;0.43;0.3;6.6;0.025;15;138;0.99126;3.18;0.46;12.6;6
1130;white;6.6;0.18;0.35;1.5;0.049;49;141;0.9934;3.43;0.85;10.2;7
1131;white;10.7;0.22;0.56;8.2;0.044;37;181;0.998;2.87;0.68;9.5;6
1132;white;7.7;0.3;0.42;14.3;0.045;45;213;0.9991;3.18;0.63;9.2;5
1133;white;7.5;0.29;0.26;14.95;0.067;47;178;0.99838;3.04;0.49;9.2;4
1134;white;5.5;0.29;0.3;1.1;0.022;20;110;0.98869;3.34;0.38;12.8;7
1135;white;7.3;0.23;0.24;0.9;0.031;29;86;0.98926;2.9;0.38;12.2;6
1136;white;7.5;0.17;0.44;11.3;0.046;65;146;0.997;3.17;0.45;10;6
1137;red;6.8;0.48;0.25;2;0.076;29;61;0.9953;3.34;0.6;10.4;5
1138;white;6.2;0.28;0.27;10.3;0.03;26;108;0.99388;3.2;0.36;10.7;6
1139;red;8;0.43;0.36;2.3;0.075;10;48;0.9976;3.34;0.46;9.4;5
1140;white;9.4;0.29;0.55;2.2;0.05;17;119;0.9962;3.12;0.69;10.3;4
1141;red;10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6
1142;white;5.2;0.6;0.07;7;0.044;33;147;0.9944;3.33;0.58;9.7;5
1143;white;5.7;0.26;0.27;4.1;0.201;73.5;189.5;0.9942;3.27;0.38;9.4;6
1144;white;7.3;0.32;0.23;13.7;0.05;49;197;0.9985;3.2;0.46;8.7;5
1145;white;8.3;0.4;0.41;8.2;0.05;15;122;0.9979;3.39;0.49;9.3;5
1146;white;6.2;0.35;0.04;1.2;0.06;23;108;0.9934;3.26;0.54;9.2;5
1147;red;8.4;0.29;0.4;1.7;0.067;8;20;0.99603;3.39;0.6;10.5;5
1148;white;6;0.19;0.26;12.4;0.048;50;147;0.9972;3.3;0.36;8.9;6
1149;white;6.4;0.1;0.35;4.9;0.048;31;103;0.9947;3.43;0.79;9.7;6
1150;white;7;0.2;0.31;8;0.05;29;213;0.99596;3.28;0.57;10.4;6
1151;red;10;0.56;0.24;2.2;0.079;19;58;0.9991;3.18;0.56;10.1;6
1152;white;6.8;0.24;0.34;2.7;0.047;64.5;218.5;0.9934;3.3;0.58;9.7;6
1153;red;9.9;0.54;0.45;2.3;0.071;16;40;0.9991;3.39;0.62;9.4;5
1154;white;7.15;0.17;0.24;9.6;0.119;56;178;0.99578;3.15;0.44;10.2;6
1155;white;6.5;0.26;0.74;13.3;0.044;68;224;0.9972;3.18;0.54;9.5;6
1156;white;6.5;0.28;0.34;3.6;0.04;29;121;0.99111;3.28;0.48;12.1;7
1157;red;10.6;0.36;0.6;2.2;0.152;7;18;0.9986;3.04;1.06;9.4;5
1158;white;7.2;0.3;0.3;8.7;0.022;14;111;0.99576;3.11;0.61;10.6;5
1159;red;8.1;0.87;0;2.2;0.084;10;31;0.99656;3.25;0.5;9.8;5
1160;white;7.1;0.37;0.3;6.2;0.04;49;139;0.99021;3.17;0.27;13.6;6
1161;white;5.9;0.28;0.14;8.6;0.032;30;142;0.99542;3.28;0.44;9.5;6
1162;red;8.1;0.87;0;3.3;0.096;26;61;1.00025;3.6;0.72;9.8;4
1163;white;6.5;0.32;0.3;2.3;0.051;20;127;0.98964;3.13;0.52;12.8;6
1164;white;7.3;0.2;0.44;1.4;0.045;21;98;0.9924;3.15;0.46;10;7
1165;red;9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;6
1166;white;6.8;0.2;0.59;0.9;0.147;38;132;0.993;3.05;0.38;9.1;6
1167;white;6.5;0.28;0.29;2.7;0.038;26;107;0.9912;3.32;0.41;11.6;7
1168;white;6.6;0.26;0.31;4.8;0.138;41;168;0.9951;3.2;0.38;9.3;5
1169;white;7.8;0.25;0.37;1;0.043;10;80;0.99128;3.08;0.38;11.4;5
1170;white;6.6;0.26;0.25;11.6;0.045;45;178;0.99691;3.33;0.43;9.8;6
1171;white;7.6;0.23;0.64;12.9;0.033;54;170;0.998;3;0.53;8.8;5
1172;red;7.9;0.51;0.25;2.9;0.077;21;45;0.9974;3.49;0.96;12.1;6
1173;white;6.3;0.13;0.42;1.1;0.043;63;146;0.99066;3.13;0.72;11.2;7
1174;white;7.4;0.2;0.28;9.1;0.047;29;95;0.99532;3.16;0.47;9.8;7
1175;red;8.9;0.84;0.34;1.4;0.05;4;10;0.99554;3.12;0.48;9.1;6
1176;red;8;0.705;0.05;1.9;0.074;8;19;0.9962;3.34;0.95;10.5;6
1177;white;5.9;0.14;0.2;1.6;0.04;26;114;0.99105;3.25;0.45;11.4;6
1178;red;7.9;0.32;0.51;1.8;0.341;17;56;0.9969;3.04;1.08;9.2;6
1179;white;4.9;0.335;0.14;1.3;0.036;69;168;0.99212;3.47;0.46;10.4666666666667;5
1180;white;7.5;0.38;0.29;12.7;0.05;25;209;0.9986;3.25;0.59;9.3;6
1181;white;6.1;0.2;0.17;1.6;0.048;46;129;0.991;3.3;0.43;11.4;6
1182;white;6.5;0.23;0.38;1.3;0.032;29;112;0.99298;3.29;0.54;9.7;5
1183;white;7.2;0.15;0.38;1.2;0.038;18;110;0.9917;3.19;0.43;11.1;6
1184;red;10.8;0.45;0.33;2.5;0.099;20;38;0.99818;3.24;0.71;10.8;5
1185;white;7.4;0.3;0.49;8.2;0.055;49;188;0.9974;3.52;0.58;9.7;6
1186;white;6.8;0.32;0.34;6;0.05;5;129;0.9953;3.19;0.4;9.1;5
1187;white;7;0.22;0.26;9.2;0.027;37;122;0.99228;3.06;0.34;12.5;8
1188;white;8.3;0.49;0.23;6.65;0.034;6;158;0.99344;3.05;0.48;11.2;5
1189;white;7.8;0.24;0.18;6.7;0.046;33;160;0.9963;3.2;0.56;9.8;6
1190;white;7.7;0.24;0.31;1.3;0.047;33;106;0.993;3.22;0.55;10.8;6
1191;white;6.6;0.27;0.33;1.4;0.042;24;183;0.99215;3.29;0.46;10.7;5
1192;white;7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7
1193;white;6.8;0.28;0.36;1.6;0.04;25;87;0.9924;3.23;0.66;10.3;6
1194;red;12.8;0.84;0.63;2.4;0.088;13;35;0.9997;3.1;0.6;10.4;6
1195;white;7.8;0.22;0.38;10.3;0.059;28;99;0.9967;3.12;0.47;10;6
1196;white;6.4;0.21;0.28;5.9;0.047;29;101;0.99278;3.15;0.4;11;6
1197;white;6.8;0.26;0.34;13.9;0.034;39;134;0.9949;3.33;0.53;12;6
1198;white;6.9;0.32;0.15;8.1;0.046;51;180;0.9958;3.13;0.45;8.9;5
1199;white;8.3;0.25;0.33;2.5;0.053;12;72;0.99404;2.89;0.48;9.5;5
1200;red;6.9;0.67;0.06;2.1;0.08;8;33;0.99845;3.68;0.71;9.6;5
1201;red;8.3;0.65;0.1;2.9;0.089;17;40;0.99803;3.29;0.55;9.5;5
1202;white;7;0.3;0.51;13.6;0.05;40;168;0.9976;3.07;0.52;9.6;7
1203;white;6.7;0.31;0.44;6.7;0.054;29;160;0.9952;3.04;0.44;9.6;5
1204;white;7.2;0.25;0.28;14.4;0.055;55;205;0.9986;3.12;0.38;9;7
1205;white;7.4;0.28;0.49;1.5;0.034;20;126;0.9918;2.98;0.39;10.6;6
1206;white;9.4;0.23;0.56;16.45;0.063;52.5;282;1.00098;3.1;0.51;9.3;5
1207;white;6.1;0.22;0.28;16.55;0.059;54;135;0.99665;3.2;0.38;10.5;5
1208;white;5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6
1209;white;5.5;0.35;0.35;1.1;0.045;14;167;0.992;3.34;0.68;9.9;6
1210;red;7.7;0.23;0.37;1.8;0.046;23;60;0.9971;3.41;0.71;12.1;6
1211;white;6.7;0.17;0.5;2.1;0.043;27;122;0.9923;3.15;0.45;10.3;6
1212;white;6.5;0.35;0.38;7.4;0.036;20;196;0.99712;3.47;0.48;9.1;6
1213;white;6.4;0.29;0.18;15;0.04;21;116;0.99736;3.14;0.5;9.2;5
1214;white;6.8;0.21;0.26;11.7;0.038;61;152;0.99523;3.02;0.56;10.5;7
1215;white;8.3;0.36;0.57;15;0.052;35;256;1.0001;2.93;0.64;8.6;5
1216;white;7;0.24;0.35;1.5;0.052;51;128;0.9941;3.41;0.59;10.4;7
1217;white;7.8;0.43;0.49;13;0.033;37;158;0.9955;3.14;0.35;11.3;6
1218;white;3.9;0.225;0.4;4.2;0.03;29;118;0.989;3.57;0.36;12.8;8
1219;white;6.1;0.22;0.5;6.6;0.045;30;122;0.99415;3.22;0.49;9.9;6
1220;red;8.6;0.47;0.3;3;0.076;30;135;0.9976;3.3;0.53;9.4;5
1221;white;6.8;0.31;0.32;7.6;0.052;35;143;0.9959;3.14;0.38;9;5
1222;white;8.2;0.2;0.49;3.5;0.057;14;108;0.9928;3.19;0.35;11.5;6
1223;red;7.2;0.25;0.37;2.5;0.063;11;41;0.99439;3.52;0.8;12.4;7
1224;white;6.1;0.26;0.51;2.2;0.05;61;154;0.9929;3.08;0.6;9.8;6
1225;white;6.7;0.32;0.32;1.7;0.031;31;114;0.98946;3.12;0.35;12.5;6
1226;white;6.9;0.18;0.36;1.3;0.036;40;117;0.9934;3.27;0.95;9.5;7
1227;red;7.3;0.52;0.32;2.1;0.07;51;70;0.99418;3.34;0.82;12.9;6
1228;red;8.9;0.635;0.37;1.7;0.263;5;62;0.9971;3;1.09;9.3;5
1229;white;7.2;0.29;0.18;8.2;0.042;41;180;0.99644;3.16;0.49;9.1;5
1230;red;7.5;0.705;0.24;1.8;0.36;15;63;0.9964;3;1.59;9.5;5
1231;red;6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;6
1232;white;7.9;0.18;0.37;3;0.061;25;178;0.995;3.22;0.51;10;6
1233;white;6.5;0.33;0.32;1;0.041;39;120;0.99004;3.06;0.37;12.2;6
1234;white;7.7;0.25;0.49;2.5;0.047;31;169;0.99252;3.07;0.57;10.6;6
1235;white;5.8;0.25;0.26;13.1;0.051;44;148;0.9972;3.29;0.38;9.3;5
1236;red;6.6;0.735;0.02;7.9;0.122;68;124;0.9994;3.47;0.53;9.9;5
1237;red;9.6;0.5;0.36;2.8;0.116;26;55;0.99722;3.18;0.68;10.9;5
1238;red;12.7;0.6;0.65;2.3;0.063;6;25;0.9997;3.03;0.57;9.9;5
1239;white;7.3;0.29;0.3;13;0.043;46;238;0.9986;3.06;0.41;8.7;6
1240;white;7.8;0.43;0.49;13;0.033;37;158;0.9955;3.14;0.35;11.3;6
1241;white;7.1;0.23;0.28;1.9;0.046;33;103;0.98997;3.12;0.31;12;5
1242;red;7.4;0.635;0.1;2.4;0.08;16;33;0.99736;3.58;0.69;10.8;7
1243;white;6.2;0.2;0.26;1.7;0.093;40;161;0.9924;3.44;0.66;11;5
1244;white;6.9;0.25;0.24;1.8;0.053;6;121;0.993;3.23;0.7;11.4;5
1245;red;11.6;0.475;0.4;1.4;0.091;6;28;0.99704;3.07;0.65;10.0333333333333;6
1246;white;6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
1247;white;5.9;0.28;0.14;8.6;0.032;30;142;0.99542;3.28;0.44;9.5;6
1248;red;7.1;0.16;0.44;2.5;0.068;17;31;0.99328;3.35;0.54;12.4;6
1249;white;6.4;0.22;0.56;14.5;0.055;27;159;0.998;2.98;0.4;9.1;5
1250;white;8.1;0.22;0.43;1.5;0.044;28;129;0.9938;3.22;0.45;11;6
1251;red;6.4;0.795;0;2.2;0.065;28;52;0.99378;3.49;0.52;11.6;5
1252;white;6.1;0.19;0.37;2.6;0.041;24;99;0.99153;3.18;0.5;10.9;6
1253;white;5.9;0.29;0.32;1.4;0.022;17;47;0.9899;3.35;0.35;11.5;6
1254;white;9.2;0.23;0.35;10.7;0.037;34;145;0.9981;3.09;0.32;9.7;5
1255;red;6.9;0.63;0.01;2.4;0.076;14;39;0.99522;3.34;0.53;10.8;6
1256;white;7.3;0.36;0.54;13.3;0.054;63;193;0.99864;3.06;0.49;8.6;4
1257;white;6.2;0.3;0.31;1.2;0.048;19;125;0.98999;3.32;0.54;12.6;6
1258;white;7.8;0.25;0.34;13.7;0.044;66;184;0.99976;3.22;0.75;8.9;5
1259;red;6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;7
1260;white;6.2;0.39;0.24;4.8;0.037;45;138;0.99174;3.23;0.43;11.2;7
1261;white;6.6;0.28;0.42;8.2;0.044;60;196;0.99562;3.14;0.48;9.4;5
1262;white;6.6;0.24;0.29;2;0.023;19;86;0.99;3.25;0.45;12.5;6
1263;white;6.1;0.19;0.25;4;0.023;23;112;0.9923;3.37;0.51;11.6;6
1264;white;6.5;0.26;0.24;10.8;0.042;47;130;0.996;3.08;0.4;10.1;6
1265;red;11.5;0.59;0.59;2.6;0.087;13;49;0.9988;3.18;0.65;11;6
1266;white;7;0.45;0.34;19.8;0.04;12;67;0.9976;3.07;0.38;11;6
1267;red;9.4;0.685;0.26;2.4;0.082;23;143;0.9978;3.28;0.55;9.4;5
1268;red;7.6;0.43;0.29;2.1;0.075;19;66;0.99718;3.4;0.64;9.5;5
1269;white;6.7;0.24;0.26;12.6;0.053;44;182;0.99802;3.42;0.42;9.7;5
1270;white;6.8;0.21;0.36;18.1;0.046;32;133;1;3.27;0.48;8.8;5
1271;white;7.6;0.33;0.36;2.1;0.034;26;172;0.9944;3.42;0.48;10.5;4
1272;white;6.9;0.35;0.74;1;0.044;18;132;0.992;3.13;0.55;10.2;5
1273;white;5.5;0.17;0.23;2.9;0.039;10;108;0.99243;3.28;0.5;10;5
1274;red;7.5;0.57;0.02;2.6;0.077;11;35;0.99557;3.36;0.62;10.8;6
1275;white;7.8;0.26;0.49;3.2;0.027;28;87;0.9919;3.03;0.32;11.3;7
1276;white;6.5;0.25;0.27;17.4;0.064;29;140;0.99776;3.2;0.49;10.1;6
1277;red;7;0.62;0.18;1.5;0.062;7;50;0.9951;3.08;0.6;9.3;5
1278;red;9.2;0.755;0.18;2.2;0.148;10;103;0.9969;2.87;1.36;10.2;6
1279;white;8.5;0.17;0.31;1;0.024;13;91;0.993;2.79;0.37;10.1;5
1280;white;6.3;0.22;0.3;2;0.05;23;120;0.99204;3.24;0.47;10.4;6
1281;white;6.3;0.25;0.23;14.9;0.039;47;142;0.99705;3.14;0.35;9.7;6
1282;red;5.1;0.47;0.02;1.3;0.034;18;44;0.9921;3.9;0.62;12.8;6
1283;white;6;0.19;0.29;1.2;0.046;29;92;0.99033;3.22;0.53;11.3;6
1284;white;8.2;0.34;0.29;5.2;0.076;19;92;0.99138;2.95;0.39;12.5;6
1285;red;7.9;0.52;0.26;1.9;0.079;42;140;0.9964;3.23;0.54;9.5;5
1286;white;5.7;0.28;0.35;1.2;0.052;39;141;0.99108;3.44;0.69;11.3;6
1287;white;5;0.44;0.04;18.6;0.039;38;128;0.9985;3.37;0.57;10.2;6
1288;white;5.6;0.35;0.14;5;0.046;48;198;0.9937;3.3;0.71;10.3;5
1289;white;5.8;0.26;0.24;9.2;0.044;55;152;0.9961;3.31;0.38;9.4;5
1290;white;5.7;0.135;0.3;4.6;0.042;19;101;0.9946;3.31;0.42;9.3;6
1291;red;9;0.58;0.25;2.8;0.075;9;104;0.99779;3.23;0.57;9.7;5
1292;white;6.9;0.22;0.31;6.3;0.029;41;131;0.99326;3.08;0.49;10.8;6
1293;white;7.6;0.17;0.46;0.9;0.036;63;147;0.99126;3.02;0.41;10.7;6
1294;white;6.7;0.34;0.3;8.5;0.059;24;152;0.99615;3.46;0.64;11;7
1295;white;7.2;0.32;0.24;5.6;0.033;23;120;0.99334;2.92;0.66;10.3;7
1296;white;6.3;0.22;0.57;1.4;0.208;14;96;0.9932;3.16;0.43;10;6
1297;red;5.7;0.6;0;1.4;0.063;11;18;0.99191;3.45;0.56;12.2;6
1298;white;7.3;0.23;0.37;1.9;0.041;51;165;0.9908;3.26;0.4;12.2;8
1299;white;5.3;0.24;0.33;1.3;0.033;25;97;0.9906;3.59;0.38;11;8
1300;white;8.4;0.2;0.38;11.8;0.055;51;170;1.0004;3.34;0.82;8.9;6
1301;white;6.5;0.34;0.36;11;0.052;53;247;0.9984;3.44;0.55;9.3;6
1302;white;6.7;0.17;0.37;2;0.039;34;125;0.9922;3.26;0.6;10.8;7
1303;white;7.2;0.23;0.19;13.7;0.052;47;197;0.99865;3.12;0.53;9;5
1304;red;6;0.31;0.47;3.6;0.067;18;42;0.99549;3.39;0.66;11;6
